9
1000.0
631160
10000
1000
Sun        1 1.988E+30 2.843E+05 9.041E+05 -1.833E+4 -9.889E-3 8.899E-03 2.381E-04
Mercury    2 3.285E+23 -2.242E+6 4.696E+07 3.977E+06 -5.842E+1 -8.882E-1 5.286E+00
Venus      3 4.867E+24 -3.921E+7 -1.001E+8 8.742E+05 3.236E+01 -1.288E+1 -2.045E+0
Earth      4 5.972E+24 1.835E+07 1.470E+08 -2.499E+4 -3.006E+1 3.562E+00 1.929E-04
Mars       5 6.390E+23 -2.441E+8 -2.530E+7 5.430E+06 3.478E+00 -2.201E+1 -5.468E-1
Jupiter    6 1.898E+27 -6.486E+8 -4.885E+8 1.653E+07 7.707E+00 -9.816E+0 -1.316E-1
Saturn     7 5.683E+26 -6.243E+6 -1.504E+9 2.640E+07 9.127E+00 -7.036E-2 -3.624E-1
Uranus     8 8.681E+25 2.655E+09 1.347E+09 -2.940E+7 -3.130E+0 5.755E+00 6.166E-02
Neptune    9 1.024E+26 4.288E+09 -1.292E+9 -7.220E+7 1.533E+00 5.235E+00 -1.438E-1
